oshpd_id,facility_name,"license_number
","facility_level
",dba_address,dba_city,dba_zip_code,county_code,county_name,er_service_level,"total_beds
",facility_status,"facility_start_date
","license_type
",license_category,latitude,longitude
106010735,ALAMEDA HOSPITAL,140000002,Parent Facility,2070 CLINTON AVE,ALAMEDA,94501,1,ALAMEDA,Emergency - Basic,101,Open,1/1/1946,Hospital,General Acute Care Hospital,37.76266,-122.253991
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,140000004,Parent Facility,2450 ASHBY AVENUE,BERKELEY,94705,1,ALAMEDA,Emergency - Basic,347,Open,1/2/1946,Hospital,General Acute Care Hospital,37.85645,-122.25743
106010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,140000015,Parent Facility,747 52ND STREET,OAKLAND,94609,1,ALAMEDA,Emergency - Basic,190,Open,1/1/1946,Hospital,General Acute Care Hospital,37.83722,-122.26747
106010811,FAIRMONT HOSPITAL,140000046,Consolidated Facility,15400 FOOTHILL BOULEVARD,SAN LEANDRO,94578,1,ALAMEDA,None,159,Open,7/1/1953,Hospital,General Acute Care Hospital,37.70648,-122.11819
106010844,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,140000004,Consolidated Facility,2001 DWIGHT WAY,BERKELEY,94704,1,ALAMEDA,None,69,Open,1/1/1946,Hospital,General Acute Care Hospital,37.86373,-122.26984
106010846,HIGHLAND HOSPITAL,140000046,Parent Facility,1411 EAST 31ST STREET,OAKLAND,94602,1,ALAMEDA,Emergency - Basic,249,Open,7/1/1953,Hospital,General Acute Care Hospital,37.79925,-122.23138
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,140000066,Parent Facility,2800 BENEDICT DRIVE,SAN LEANDRO,94577,1,ALAMEDA,None,99,Open,11/13/1962,Hospital,General Acute Care Hospital,37.71621,-122.13119
106010937,ALTA BATES SUMMIT MEDICAL CENTER,140000284,Parent Facility,350 HAWTHORNE AVENUE,OAKLAND,94609,1,ALAMEDA,Emergency - Basic,403,Open,1/1/1946,Hospital,General Acute Care Hospital,37.82106,-122.26257
106010967,ST. ROSE HOSPITAL,140000107,Parent Facility,27200 CALAROGA AVENUE,HAYWARD,94545,1,ALAMEDA,Emergency - Basic,217,Open,10/10/1962,Hospital,General Acute Care Hospital,37.63291,-122.08962
106010983,VALLEY MEMORIAL HOSPITAL,140000114,Consolidated Facility,1111 E. STANLEY BOULEVARD,LIVERMORE,94550,1,ALAMEDA,None,75,Open,10/19/1969,Hospital,General Acute Care Hospital,37.6787,-121.78252
106010987,WASHINGTON HOSPITAL - FREMONT,140000116,Parent Facility,2000 MOWRY AVENUE,FREMONT,94538,1,ALAMEDA,Emergency - Basic,341,Open,11/19/1958,Hospital,General Acute Care Hospital,37.55847,-121.98006
106013619,SAN LEANDRO HOSPITAL,550002039,Parent Facility,13855 EAST 14TH STREET,SAN LEANDRO,94578,1,ALAMEDA,Emergency - Basic,93,Open,9/1/2012,Hospital,General Acute Care Hospital,37.71364,-122.14067
106013626,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT CAMPUS,140000284,Consolidated Facility,3100 SUMMIT STREET,OAKLAND,94609,1,ALAMEDA,None,75,Open,1/1/1946,Hospital,General Acute Care Hospital,37.81994,-122.2643
106013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,140000232,Parent Facility,3012 SUMMIT STREET,OAKLAND,94609,1,ALAMEDA,Not Applicable,24,Open,10/12/1983,Hospital,Chemical Dep. Recovery Hospital,37.81944,-122.26451
106014034,FREMONT HOSPITAL,140000347,Parent Facility,39001 SUNDALE DRIVE,FREMONT,94538,1,ALAMEDA,Not Applicable,148,Open,2/16/1990,Hospital,Acute Psychiatric Hospital,37.54652,-121.97885
